iter	Passed	Remaining
212	444	1643
213	446	1639
214	447	1634
215	449	1630
216	450	1625
217	451	1620
218	452	1615
219	454	1610
220	455	1605
221	456	1600
222	457	1595
223	459	1590
224	460	1585
225	461	1580
226	462	1576
227	464	1571
228	465	1566
229	466	1562
230	468	1558
231	469	1554
232	470	1549
233	472	1545
234	473	1541
235	474	1537
236	476	1532
237	477	1527
238	478	1523
239	479	1518
240	480	1514
241	482	1510
242	483	1505
243	484	1501
244	485	1497
245	487	1492
246	488	1488
247	489	1483
248	490	1479
249	491	1475
250	492	1470
251	494	1466
252	495	1461
253	496	1457
254	497	1453
255	498	1449
256	500	1446
257	501	1442
258	502	1438
259	504	1434
260	505	1430
261	506	1426
262	507	1422
263	508	1418
264	510	1414
265	511	1410
266	512	1407
267	513	1403
268	514	1399
269	516	1395
270	517	1391
271	518	1387
272	519	1384
273	520	1380
274	522	1376
275	523	1372
276	524	1368
277	525	1365
278	526	1361
279	528	1358
280	529	1355
281	530	1351
282	532	1348
283	533	1345
284	534	1342
285	536	1338
286	537	1335
287	538	1331
288	539	1328
289	541	1324
290	542	1320
291	543	1317
292	544	1313
293	545	1309
294	546	1306
295	547	1303
296	548	1299
297	549	1295
298	551	1292
299	552	1289
300	553	1286
301	555	1283
302	556	1280
303	558	1277
304	559	1274
305	560	1271
306	561	1268
307	563	1265
308	564	1261
309	565	1258
310	566	1256
311	568	1253
312	569	1249
313	570	1246
314	571	1243
315	573	1240
316	574	1237
317	575	1234
318	576	1231
319	578	1228
320	579	1225
321	580	1222
322	581	1219
323	583	1216
324	584	1213
325	585	1210
326	586	1207
327	588	1204
328	589	1202
329	590	1198
330	591	1196
331	592	1193
332	594	1189
333	595	1186
334	596	1183
335	597	1180
336	598	1177
337	599	1174
338	600	1171
339	601	1168
340	603	1165
341	604	1162
342	605	1159
343	606	1156
344	607	1153
345	608	1151
346	610	1148
347	611	1144
348	612	1142
349	613	1139
350	614	1136
351	615	1133
352	616	1130
353	617	1127
354	619	1124
355	620	1121
356	621	1119
357	622	1116
358	623	1113
359	625	1111
360	626	1108
361	627	1106
362	628	1103
363	630	1100
364	631	1098
365	632	1095
366	633	1092
367	634	1090
368	636	1087
369	637	1085
370	638	1082
371	640	1080
372	641	1078
373	642	1075
374	643	1073
375	644	1070
376	645	1067
377	646	1064
378	648	1061
379	649	1059
380	650	1056
381	651	1054
382	652	1051
383	654	1049
384	655	1046
385	656	1044
386	657	1042
387	659	1040
388	660	1037
389	664	1039
390	665	1036
391	666	1034
392	668	1031
393	669	1029
394	670	1027
395	671	1024
396	673	1022
397	674	1019
398	675	1017
399	676	1014
400	677	1012
401	679	1010
402	680	1007
403	681	1005
404	682	1002
405	683	1000
406	684	997
407	686	995
408	687	993
409	688	990
410	689	988
411	690	986
412	691	983
413	692	980
414	694	978
415	695	975
416	696	973
417	697	971
418	698	969
419	700	967
420	701	965
421	702	962
422	704	960
423	705	958
424	707	957
425	708	955
426	710	952
427	711	950
428	712	948
429	713	946
430	715	944
431	716	941
432	717	939
433	718	937
434	719	934
435	720	932
436	721	929
437	722	927
438	724	925
439	725	923
440	726	920
441	727	918
442	728	915
443	729	913
444	730	911
445	732	909
446	733	907
447	734	904
448	735	902
449	736	900
450	737	897
451	738	895
452	739	893
453	741	891
454	742	889
455	743	887
456	744	885
457	746	882
458	747	880
459	748	878
460	749	876
461	750	873
462	751	871
463	752	869
464	753	867
465	755	865
466	756	862
467	757	861
468	759	859
469	760	857
470	762	856
471	763	854
472	764	851
473	765	849
474	767	847
475	768	845
476	769	843
477	770	841
478	771	839
479	772	837
480	774	835
481	775	833
482	776	831
483	778	829
484	779	827
485	780	825
486	781	823
487	782	821
488	784	819
489	785	817
490	786	815
491	787	813
492	789	811
493	790	809
494	791	807
495	792	805
496	793	803
497	794	801
498	796	799
499	797	797
500	798	795
501	799	793
502	800	791
503	802	789
504	803	787
505	804	785
506	805	783
507	807	781
508	808	779
509	809	777
510	810	775
511	812	773
512	813	772
513	814	770
514	815	768
515	816	766
516	818	764
517	819	762
518	820	760
519	821	758
520	822	756
521	823	754
522	825	752
523	826	750
524	827	748
525	828	746
526	829	744
527	830	742
528	832	740
529	833	739
530	834	737
531	835	735
532	837	733
533	838	731
534	839	729
535	840	728
536	842	726
537	843	724
538	844	722
539	845	720
540	846	718
541	848	716
542	849	715
543	850	713
544	851	711
545	853	709
546	854	707
547	855	705
548	856	703
549	857	701
550	858	699
551	860	698
552	861	696
553	862	694
554	864	692
555	865	691
556	866	689
557	867	687
558	869	685
559	870	684
560	871	682
561	873	680
562	874	678
563	875	676
564	876	674
565	877	673
566	879	671
567	880	669
568	881	667
569	882	665
570	884	664
571	885	662
572	886	660
573	888	659
574	889	657
575	890	655
576	892	653
577	893	652
578	894	650
579	895	648
580	897	646
581	898	645
582	899	643
583	900	641
584	902	640
585	903	638
586	904	636
587	906	634
588	907	633
589	908	631
590	910	629
591	911	628
592	912	626
593	913	624
594	915	622
595	916	621
596	917	619
597	918	617
598	920	615
599	921	614
600	922	612
601	923	610
602	924	608
603	926	607
604	927	605
605	928	603
606	929	601
607	930	600
608	932	598
609	933	596
610	935	595
611	936	593
612	938	592
613	939	590
614	940	588
615	941	587
616	943	585
617	944	583
618	945	582
619	947	580
620	948	578
621	949	577
622	951	575
623	952	573
624	953	572
625	954	570
626	956	568
627	957	567
628	958	565
629	960	563
630	961	562
631	962	560
632	963	558
633	964	557
634	966	555
635	967	553
636	968	551
637	969	550
638	970	548
639	972	546
640	973	545
641	974	543
642	975	541
643	977	540
644	978	538
645	979	536
646	980	535
647	982	533
648	983	531
649	984	530
650	985	528
651	987	526
652	988	525
653	989	523
654	990	521
655	991	520
656	993	518
657	994	516
658	995	515
659	996	513
660	998	511
661	999	510
662	1000	508
663	1001	506
664	1002	505
665	1004	503
666	1005	501
667	1006	500
668	1007	498
669	1009	497
670	1010	495
671	1011	493
672	1012	492
673	1014	490
674	1015	489
675	1016	487
676	1017	485
677	1019	484
678	1020	482
679	1021	480
680	1023	479
681	1024	477
682	1025	475
683	1026	474
684	1027	472
685	1029	471
686	1030	469
687	1031	467
688	1033	466
689	1034	464
690	1035	463
691	1037	461
692	1038	460
693	1039	458
694	1041	456
695	1042	455
696	1043	453
697	1044	452
698	1046	450
699	1047	448
700	1048	447
701	1050	445
702	1051	444
703	1052	442
704	1054	441
705	1055	439
706	1056	437
707	1058	436
708	1059	434
709	1060	433
710	1061	431
711	1063	430
712	1064	428
713	1065	426
714	1067	425
715	1068	423
716	1070	422
717	1071	420
718	1072	419
719	1073	417
720	1074	415
721	1076	414
722	1077	412
723	1079	411
724	1080	409
725	1081	408
726	1083	406
727	1084	405
728	1086	403
729	1087	402
730	1088	400
731	1089	398
732	1091	397
733	1092	395
734	1093	394
735	1094	392
736	1095	391
737	1097	389
738	1098	387
739	1099	386
740	1100	384
741	1102	383
742	1103	381
743	1104	379
744	1105	378
745	1106	376
746	1108	375
747	1109	373
748	1110	372
749	1111	370
750	1113	369
751	1114	367
752	1115	365
753	1116	364
754	1117	362
755	1119	361
756	1120	359
757	1121	358
758	1122	356
759	1123	354
760	1125	353
761	1126	351
762	1127	350
763	1129	348
764	1130	347
765	1131	345
766	1133	344
767	1134	342
768	1135	341
769	1137	339
770	1138	338
771	1139	336
772	1140	335
773	1142	333
774	1143	332
775	1144	330
776	1146	328
777	1147	327
778	1148	325
779	1149	324
780	1151	322
781	1152	321
782	1153	319
783	1154	318
784	1156	316
785	1157	315
786	1158	313
787	1159	311
788	1161	310
789	1162	308
790	1163	307
791	1164	305
792	1165	304
793	1167	302
794	1168	301
795	1170	299
796	1171	298
797	1172	296
798	1173	295
799	1174	293
800	1175	292
801	1177	290
802	1178	289
803	1179	287
804	1180	286
805	1181	284
806	1183	282
807	1184	281
808	1185	279
809	1186	278
810	1187	276
811	1189	275
812	1190	273
813	1191	272
814	1193	270
815	1194	269
816	1195	267
817	1197	266
818	1198	264
819	1199	263
820	1200	261
821	1202	260
822	1203	258
823	1205	257
824	1206	255
825	1207	254
826	1208	252
827	1210	251
828	1211	249
829	1212	248
830	1213	246
831	1215	245
832	1216	243
833	1217	242
834	1219	240
835	1220	239
836	1221	237
837	1222	236
838	1224	234
839	1225	233
840	1226	231
841	1228	230
842	1229	228
843	1230	227
844	1232	226
845	1233	224
846	1234	223
847	1235	221
848	1237	220
849	1238	218
850	1239	217
851	1240	215
852	1242	214
853	1243	212
854	1244	211
855	1245	209
856	1246	208
857	1248	206
858	1249	205
859	1250	203
860	1251	202
861	1253	200
862	1254	199
863	1255	197
864	1257	196
865	1258	194
866	1259	193
867	1261	191
868	1262	190
869	1264	188
870	1265	187
871	1266	185
872	1268	184
873	1269	182
874	1270	181
875	1271	180
876	1273	178
877	1274	177
878	1275	175
879	1276	174
880	1278	172
881	1279	171
882	1280	169
883	1281	168
884	1283	166
885	1284	165
886	1285	163
887	1286	162
888	1288	160
889	1289	159
890	1290	157
891	1292	156
892	1293	154
893	1294	153
894	1295	152
895	1296	150
896	1298	149
897	1299	147
898	1300	146
899	1301	144
900	1303	143
901	1304	141
902	1305	140
903	1306	138
904	1308	137
905	1309	135
906	1310	134
907	1312	132
908	1313	131
909	1314	130
910	1316	128
911	1317	127
912	1318	125
913	1320	124
914	1321	122
915	1322	121
916	1323	119
917	1325	118
918	1326	116
919	1327	115
920	1329	114
921	1330	112
922	1331	111
923	1332	109
924	1334	108
925	1335	106
926	1337	105
927	1338	103
928	1340	102
929	1341	100
930	1342	99
931	1344	98
932	1345	96
933	1347	95
934	1348	93
935	1349	92
936	1351	90
937	1352	89
938	1353	87
939	1354	86
940	1356	85
941	1357	83
942	1359	82
943	1360	80
944	1361	79
945	1362	77
946	1364	76
947	1365	74
948	1367	73
949	1368	72
950	1369	70
951	1371	69
952	1372	67
953	1373	66
954	1375	64
955	1376	63
956	1377	61
957	1379	60
958	1380	59
959	1381	57
960	1382	56
961	1384	54
962	1385	53
963	1386	51
964	1388	50
965	1389	48
966	1390	47
967	1391	46
968	1393	44
969	1394	43
970	1395	41
971	1397	40
972	1398	38
973	1399	37
974	1401	35
975	1402	34
976	1404	33
977	1405	31
978	1406	30
979	1408	28
980	1409	27
981	1410	25
982	1412	24
983	1413	22
984	1414	21
985	1416	20
986	1417	18
987	1418	17
988	1420	15
989	1421	14
990	1422	12
991	1423	11
992	1424	10
993	1426	8
994	1427	7
995	1428	5
996	1430	4
997	1431	2
998	1432	1
999	1434	0
